participant,condition,seconds
1,trial1,3.483826642
2,trial1,3.424518627
3,trial1,3.358202224
4,trial1,3.444309968
5,trial1,2.421497744
6,trial1,3.652240272
7,trial1,3.388758419
8,trial1,2.607857844
9,trial1,3.728546955
10,trial1,3.371678069
11,trial1,2.8970507
12,trial1,3.769665353
13,trial1,2.628274243
14,trial1,2.665635141
15,trial1,3.349981267
16,trial1,3.516763945
17,trial1,4.525140575
18,trial1,3.744861778
19,trial1,3.868693358
20,trial1,2.553697964
21,trial1,2.516613076
22,trial1,2.99941576
23,trial1,2.741394196
24,trial1,3.049091415
25,trial1,4.788790601
26,trial1,4.02838966
27,trial1,3.265448414
28,trial1,3.485004988
29,trial1,2.314909532
30,trial1,3.35304567
31,trial1,2.585306763
32,trial1,4.044025491
33,trial1,3.522173277
34,trial1,3.944506943
35,trial1,1.86987691
36,trial1,2.610479978
37,trial1,3.635539158
38,trial1,3.553603383
39,trial1,2.998128015
40,trial1,3.907418926
41,trial1,3.943126779
42,trial1,2.173589574
43,trial1,2.662273866
44,trial1,3.786329041
45,trial1,3.297994879
46,trial1,4.588045603
47,trial1,2.786294088
48,trial1,4.171433779
49,trial1,3.961671723
50,trial1,4.09127496
1,trial2,3.940067599
2,trial2,4.57627898
3,trial2,5.018287554
4,trial2,3.301425629
5,trial2,3.985004859
6,trial2,4.89477958
7,trial2,3.425120584
8,trial2,3.755103346
9,trial2,3.24111305
10,trial2,3.419689181
11,trial2,3.848481802
12,trial2,4.093577868
13,trial2,4.73089897
14,trial2,3.995446228
15,trial2,3.881708752
16,trial2,4.421043954
17,trial2,3.75399015
18,trial2,4.234153797
19,trial2,3.731966283
20,trial2,4.373154069
21,trial2,4.316088324
22,trial2,4.352780802
23,trial2,4.157309072
24,trial2,4.181710804
25,trial2,3.919488307
26,trial2,4.207869633
27,trial2,3.831729529
28,trial2,3.941457387
29,trial2,4.146136277
30,trial2,4.192652854
31,trial2,4.750193774
32,trial2,4.202233752
33,trial2,4.167950043
34,trial2,4.612907964
35,trial2,4.057159903
36,trial2,4.075086753
37,trial2,3.994897571
38,trial2,4.372552728
39,trial2,2.806910106
40,trial2,4.837732646
41,trial2,3.922579182
42,trial2,4.766300139
43,trial2,4.163043226
44,trial2,3.199527123
45,trial2,5.134278502
46,trial2,3.393720045
47,trial2,4.892611233
48,trial2,3.698475365
49,trial2,4.077107805
50,trial2,4.16544093
1,trial3,3.501778991
2,trial3,3.374336571
3,trial3,1.395683068
4,trial3,2.016844229
5,trial3,0.330515431
6,trial3,3.392326311
7,trial3,2.215054818
8,trial3,2.941836004
9,trial3,2.080725936
10,trial3,2.376538192
11,trial3,3.49826475
12,trial3,2.010223353
13,trial3,3.497152963
14,trial3,2.351216283
15,trial3,1.351712281
16,trial3,3.099368478
17,trial3,2.551226649
18,trial3,2.854049931
19,trial3,2.348707828
20,trial3,2.088463865
21,trial3,2.965881284
22,trial3,3.271283944
23,trial3,2.626066439
24,trial3,2.981084174
25,trial3,1.805106848
26,trial3,3.785313692
27,trial3,2.244399138
28,trial3,3.769371445
29,trial3,3.214332483
30,trial3,2.792551779
31,trial3,2.704175855
32,trial3,2.588665565
33,trial3,2.41821388
34,trial3,2.305362562
35,trial3,2.247817609
36,trial3,3.012833056
37,trial3,2.400830008
38,trial3,2.088902898
39,trial3,0.861574055
40,trial3,3.824220454
41,trial3,3.206985303
42,trial3,1.925302366
43,trial3,2.248086407
44,trial3,2.439396816
45,trial3,4.288066242
46,trial3,4.652460904
47,trial3,3.342316665
48,trial3,3.852713667
49,trial3,2.100475974
50,trial3,2.755949478
