Participant,Condition,ReactionTime,Mistakes,
1,Congruent,9.77,0,
1,Incongruent,10.51,0, 
1,Black Ink,8.33,0,
2,Congruent,9.18,0,
2,Incongruent,11.3,0,
2,Black Ink,10.9,0,
3,Congruent,6.7,0,
3,Incongruent,7.47,0,
3,Black Ink,7.23,0,
4,Congruent,7.48,0,
4,Incongruent,8.38,0,
4,Black Ink,7.93,0,
5,Congruent,7.1,0,
5,Incongruent,9.2,0,
5,Black Ink,7.48,0,
6,Congruent,5.73,0,
6,Incongruent,6.23,0,
6,Black Ink,6.21,0,
7,Congruent,8.75,0,
7,Incongruent,10.5,0,
7,Black Ink,8.95,0,
8,Congruent,7.15,0,
8,Incongruent,8.35,0,
8,Black Ink,7.43,0,
9,Congruent,8.9,0,
9,Incongruent,9.48,0,
9,Black Ink,8.95,0,
10,Congruent,6.7,0,
10,Incongruent,7.9,0,
10,Black Ink,6.6,0,
11,Congruent,6.8,0,
11,Incongruent,7.3,0,
11,Black Ink,7.8,0,
12,Congruent,7.1,0,
12,Incongruent,7.7,0,
12,Black Ink,8.3,0,
13,Congruent,6.6,0,
13,Incongruent,8.1,1,
13,Black Ink,6.9,0,
14,Congruent,7.42,0,
14,Incongruent,10.84,0,
14,Black Ink,14,0,
15,Congruent,7.98,1,
15,Incongruent,8.3,0,
15,Black Ink,6.8,0,
16,Congruent,8.65,0,
16,Incongruent,9.25,0,
16,Black Ink,8.94,1,
17,Congruent,9.35,0,
17,Incongruent,11.65,0,
17,Black Ink,9.91,0,
18,Congruent,8.53,0,
18,Incongruent,8.5,0,
18,Black Ink,8.23,0,
19,Congruent,8.46,0,
19,Incongruent,8.53,0,
19,Black Ink,8.58,0,
20,Congruent,8.03,0,
20,Incongruent,8.45,0,
20,Black Ink,7.95,0,
,,8.362333333,0.05,
