id,track,label,score
1,A Thousand Years,dance,0.23
1,A Thousand Years,energy,0.217
1,A Thousand Years,valence,0.156
2,Águas De Marco,dance,0.611
2,Águas De Marco,energy,0.322
2,Águas De Marco,valence,0.857
3,Bailando - English Version,dance,0.719
3,Bailando - English Version,energy,0.844
3,Bailando - English Version,valence,0.941
4,Beautiful,dance,0.456
4,Beautiful,energy,0.573
4,Beautiful,valence,0.0992
5,Better Together,dance,0.868
5,Better Together,energy,0.347
5,Better Together,valence,0.659
6,Billie Jean,dance,0.92
6,Billie Jean,energy,0.579
6,Billie Jean,valence,0.838
7,Blurred Lines,dance,0.862
7,Blurred Lines,energy,0.503
7,Blurred Lines,valence,0.863
8,Burn,dance,0.559
8,Burn,energy,0.777
8,Burn,valence,0.329
9,Celebration,dance,0.885
9,Celebration,energy,0.664
9,Celebration,valence,0.906
10,Christmas Canon,dance,0.286
10,Christmas Canon,energy,0.362
10,Christmas Canon,valence,0.148
11,Clarity,dance,0.509
11,Clarity,energy,0.781
11,Clarity,valence,0.176
12,Crash into Me,dance,0.541
12,Crash into Me,energy,0.677
12,Crash into Me,valence,0.555
13,Cupid Shuffle,dance,0.785
13,Cupid Shuffle,energy,0.582
13,Cupid Shuffle,valence,0.861
14,Dancing Queen,dance,0.539
14,Dancing Queen,energy,0.884
14,Dancing Queen,valence,0.752
15,Doin' Time,dance,0.711
15,Doin' Time,energy,0.724
15,Doin' Time,valence,0.482
16,Don't Stop Believin',dance,0.491
16,Don't Stop Believin',energy,0.802
16,Don't Stop Believin',valence,0.472
17,Explosions,dance,0.378
17,Explosions,energy,0.53
17,Explosions,valence,0.146
18,Eyes (feat. Mindy Gledhill),dance,0.584
18,Eyes (feat. Mindy Gledhill),energy,0.552
18,Eyes (feat. Mindy Gledhill),valence,0.309
19,Fade Into Darkness - Vocal Radio Mix,dance,0.556
19,Fade Into Darkness - Vocal Radio Mix,energy,0.885
19,Fade Into Darkness - Vocal Radio Mix,valence,0.771
20,Footloose - From Footloose Soundtrack,dance,0.583
20,Footloose - From Footloose Soundtrack,energy,0.905
20,Footloose - From Footloose Soundtrack,valence,0.646
21,Forever,dance,0.651
21,Forever,energy,0.195
21,Forever,valence,0.272
22,Girls Just Want to Have Fun,dance,0.704
22,Girls Just Want to Have Fun,energy,0.721
22,Girls Just Want to Have Fun,valence,0.769
23,Give Me Your Hand (Best Song Ever),dance,0.69
23,Give Me Your Hand (Best Song Ever),energy,0.889
23,Give Me Your Hand (Best Song Ever),valence,0.892
24,Hate Me Now (feat.- Puff Daddy),dance,0.652
24,Hate Me Now (feat.- Puff Daddy),energy,0.754
24,Hate Me Now (feat.- Puff Daddy),valence,0.429
25,Heroes (we could be),dance,0.521
25,Heroes (we could be),energy,0.754
25,Heroes (we could be),valence,0.352
26,Hey Ya!,dance,0.715
26,Hey Ya!,energy,0.97
26,Hey Ya!,valence,0.963
27,Hotline Bling,dance,0.896
27,Hotline Bling,energy,0.623
27,Hotline Bling,valence,0.585
28,How Long Will I Love You - Bonus Track,dance,0.512
28,How Long Will I Love You - Bonus Track,energy,0.304
28,How Long Will I Love You - Bonus Track,valence,0.172
29,I Feel Home,dance,0.426
29,I Feel Home,energy,0.418
29,I Feel Home,valence,0.206
30,I Gotta Feeling,dance,0.743
30,I Gotta Feeling,energy,0.766
30,I Gotta Feeling,valence,0.61
31,I Will Wait,dance,0.481
31,I Will Wait,energy,0.766
31,I Will Wait,valence,0.436
32,I'm Lost Without You,dance,0.268
32,I'm Lost Without You,energy,0.724
32,I'm Lost Without You,valence,0.407
33,I'm Yours,dance,0.703
33,I'm Yours,energy,0.444
33,I'm Yours,valence,0.712
34,It's Tricky,dance,0.957
34,It's Tricky,energy,0.754
34,It's Tricky,valence,0.961
35,"It's You, It's Me",dance,0.796
35,"It's You, It's Me",energy,0.79
35,"It's You, It's Me",valence,0.957
36,Last Chance,dance,0.416
36,Last Chance,energy,0.848
36,Last Chance,valence,0.165
37,Levels - Radio Edit,dance,0.62
37,Levels - Radio Edit,energy,0.881
37,Levels - Radio Edit,valence,0.415
38,Little Lion Man,dance,0.519
38,Little Lion Man,energy,0.512
38,Little Lion Man,valence,0.441
39,Love Me Like You Do - From Fifty Shades Of Grey,dance,0.258
39,Love Me Like You Do - From Fifty Shades Of Grey,energy,0.659
39,Love Me Like You Do - From Fifty Shades Of Grey,valence,0.272
40,Lover Of The Light,dance,0.298
40,Lover Of The Light,energy,0.702
40,Lover Of The Light,valence,0.349
